,word,totalValue,positive,negative,count
0,distancia,-0.04481355845928192,-0.04428495839238167,0.0005286004743538797,1
1,startlingly,0.020667295902967453,0.06193896010518074,0.04127166420221329,1
2,emerson,0.029431359842419624,-0.007787289097905159,-0.03721864894032478,1
3,pont,-0.014396945014595985,-0.03773942589759827,-0.02334248088300228,4
4,phelps,0.029787227511405945,0.025459783151745796,-0.004327445290982723,2
5,retrim,0.0,0.0,0.0,6
6,mischaracteriz,0.0,0.0,0.0,1
7,anotherrespondent,0.0,0.0,0.0,1
8,headed,0.04574568569660187,0.023255839943885803,-0.022489845752716064,16
9,cautioned,0.0021067336201667786,0.06600365042686462,0.06389691680669785,33
10,joking,-0.003821060061454773,0.0766616091132164,0.08048266917467117,1
11,novelties,0.010400420986115932,0.02115553617477417,0.010755115188658237,1
12,midcal,0.0,0.0,0.0,23
13,claiming,-0.02639102190732956,0.06487946212291718,0.09127048403024673,104
14,anew,-0.0037035569548606873,0.06618943810462952,0.0698929950594902,32
15,bureaucrats,-0.03366342931985855,0.050588011741638184,0.08425144106149673,6
16,irreconcilability,0.0,0.0,0.0,1
17,noninvestment,0.0,0.0,0.0,1
18,quality,0.09142698347568512,0.11867298930883408,0.027246005833148956,181
19,misnomer,-0.04668073356151581,0.010199754498898983,0.056880488991737366,3
20,falk,-0.02138223871588707,-0.0167839452624321,0.004598292522132397,1
21,signal,0.02567770704627037,0.06692468374967575,0.04124697670340538,23
22,fosters,0.016207706183195114,0.05514811351895332,0.03894040733575821,14
23,punt,-0.006356031633913517,-0.01658528298139572,-0.010229251347482204,1
24,explainits,0.0,0.0,0.0,1
25,explicit,0.0037375763058662415,0.07269728183746338,0.06895970553159714,118
26,skating,0.041524771600961685,0.042591989040374756,0.0010672175558283925,2
27,conklin,-0.019408375024795532,-0.030201725661754608,-0.010793350636959076,6
28,content,0.054560981690883636,0.08188322931528091,0.027322249487042427,295
29,paterson,0.0017015106277540326,0.0013315525138750672,-0.0003699581138789654,9
30,resell,-0.02642735093832016,0.01039572712033987,0.036823078989982605,12
31,purposely,-0.09064355492591858,0.020889049395918846,0.11153260618448257,10
32,knobs,-0.030847955495119095,-0.02208721823990345,0.00876073632389307,1
33,pullum,-0.04653341323137283,-0.04430089890956879,0.002232515485957265,2
34,informants,-0.038102518767118454,0.0022738303523510695,0.04037635028362274,2
35,stratton,-0.010273750871419907,-0.035475604236125946,-0.02520185336470604,1
36,lockheed,0.008532152511179447,-0.009820115752518177,-0.018352268263697624,2
37,ingesting,-0.05420626699924469,-0.0022071143612265587,0.05199915170669556,1
38,mislead,-0.06899993866682053,0.026601068675518036,0.09560100734233856,12
39,anticipates,0.03012571483850479,0.04319341108202934,0.013067695312201977,10
40,luring,-0.002465229481458664,0.05405399948358536,0.05651922896504402,2
41,retiree,-0.0006728218868374825,0.01387300156056881,0.014545823447406292,59
42,goldbergfell,0.0,0.0,0.0,1
43,nephew,0.01805412396788597,0.01836387626826763,0.00030975198023952544,3
44,ifone,0.0,0.0,0.0,1
